id,name,citizenship,byear,bplace
2318,Schill,US,1965,"Harrison,AR US"
2319,Perkins,US,1943,"Columbus,OH US"
2320,Rudd,US,1952,"Lexington,KY US"
2321,Jones,US,1941,"Saginaw,MI US"
2322,Grimm,US,1963,"Charlotte,VT US"
2323,Williams,US,1977,"Lake Charles,LA US"
2324,Hufford,US,1947,"Houston,TX US"
2325,Krajewski,US,1959,"Goodyear,AZ US"
2326,Berthiaume,US,1945,"Schaumburg,IL US"
2327,Stoll,US,1969,"Columbia,SC US"
2328,Douglas,US,1953,"Zionsville,IN US"
2329,Barrow,US,1974,"Kansas City,KS US"
2330,Miller,US,1949,"Kemblesville,PA US"
2331,Price,US,1985,"Helena,MT US"
2332,Kelley,US,1976,"Wauconda,IL US"
2333,Atkins,US,1946,"La Plata,MD US"
2334,Garza,US,1967,"Honolulu,HI US"
2335,Crowe,US,1961,"Austin,TX US"
2336,Jamison,US,1980,"Bensalem,PA US"
2337,George,US,1985,"New York,NY US"
2338,Williams,US,1974,"Brazoria,TX US"
2339,Myers,US,1967,"Churchville,NY US"
2340,Barnes,US,1941,"Dayton,OH US"
2341,Stenson,US,1985,"North Star,OH US"
2342,Davis,US,1973,"Waukesha,WI US"
2343,Kirkland,US,1956,"Grantham,NC US"
2344,Mckee,US,1940,"Milwaukee,WI US"
2345,Roby,US,1980,"Kansas City,MO US"
2346,Vanscoy,US,1964,"Ventura,CA US"
2347,Price,US,1951,"Gary,IN US"
2348,Cho,US,1978,"Salt Lake City,UT US"
2349,Hansen,US,1964,"Detroit,MI US"
2350,Day,US,1949,"Hemet,CA US"
2351,Tomlinson,US,1984,"Brockton,MA US"
2352,Acuff,US,1981,"Los Angeles,CA US"
2353,Barela,US,1958,"Alba,TX US"
2354,Pinner,US,1960,"Cambridge,MA US"
2355,Leflore,US,1943,"Memphis,TN US"
2356,Patton,US,1953,"Jersey City,NJ US"
2357,Moore,US,1969,"Lake Park,MN US"
2358,Gualtieri,US,1982,"Baton Rouge,LA US"
2359,French,US,1946,"Sacramento,CA US"
2360,Moeller,US,1969,"Saginaw,MI US"
2361,Combs,US,1955,"Pittsburgh,PA US"
2362,Lindsay,US,1945,"Midland,TX US"
2363,Seal,US,1984,"Scottsdale,AZ US"
2364,Escalante,US,1954,"Charlotte,NC US"
2365,Taylor,US,1966,"Wichita,KS US"
2366,Watson,US,1947,"Peculiar,KS US"
2367,Riley,US,1966,"Oklahoma City,OK US"
2368,Peterson,US,1983,"Franklin,TN US"
2369,Garcia,US,1970,"Irvine,CA US"
2370,Weaver,US,1962,"Springfield,MO US"
2371,Summerville,US,1982,"Muscoy,CA US"
2372,Sherwood,US,1970,"North Canton,OH US"
2373,Fowler,US,1981,"Battle Creek,MI US"
2374,Willingham,US,1943,"Farmingdale,NY US"
2375,Merrill,US,1951,"Gainesville,GA US"
2376,Swain,US,1985,"San Antonio,TX US"
2377,Huseman,US,1981,"Englewood,CO US"
2378,Welton,US,1970,"Goodhope,IL US"
2379,Coney,US,1984,"Gilbert,WV US"
2380,Bailey,US,1959,"Garden City,NY US"
2381,Barger,US,1974,"Paoli,PA US"
2382,Favela,US,1979,"Durham,NC US"
2383,Crittendon,US,1942,"Manasquan,NJ US"
2384,Baker,US,1942,"Charlottesville,VA US"
2385,Valentine,US,1951,"Olathe,KS US"
2386,Kinney,US,1943,"San Francisco,CA US"
2387,Rhone,US,1965,"Roswell,NM US"
2388,Coleman,US,1943,"Alamogordo,NM US"
2389,Borders,US,1965,"Irvine,CA US"
2390,Herrington,US,1949,"Saint Charles,MO US"
2391,Kincheloe,US,1966,"Santa Ana,CA US"
2392,Riley,US,1953,"Hebbardsville,KY US"
2393,Anderson,US,1983,"Charleston,SC US"
2394,Comeaux,US,1953,"Algoma,WI US"
2395,Cisneros,US,1965,"Rockville,MD US"
2396,Kelly,US,1954,"Providence,RI US"
2397,Walker,US,1985,"Bloomfield,MT US"
2398,Jackson,US,1953,"Midlands,TX US"
2399,Chung,US,1950,"Pen Argyl,PA US"
2400,Scott,US,1985,"Belle Plaine,KS US"
2401,Worley,US,1984,"Oakland,CA US"
2402,Cannon,US,1980,"Anaheim,CA US"
2403,Vest,US,1957,"Wadena,MN US"
2404,Jones,US,1955,"West Palm Beach,FL US"
2405,Candelario,US,1978,"Salem,IN US"
2406,Wark,US,1972,"Pomona,CA US"
2407,Sanders,US,1953,"Daly City,CA US"
2408,Colorado,US,1969,"Erie,PA US"
2409,Lawson,US,1972,"Arlington,TX US"
2410,Pearson,US,1959,"San Diego,CA US"
2411,Humphries,US,1978,"Garden City,NY US"
2412,Jackson,US,1953,"Fort Walton Beach,FL US"
2413,Temple,US,1984,"Middletown,NY US"
2414,Taylor,US,1963,"Hecla,ND US"
2415,Blackmon,US,1957,"Tampa,FL US"
2416,Hudgins,US,1940,"De Witt,NE US"
2417,Sanderson,US,1979,"Bentonville,AR US"
2418,Morrill,US,1980,"Chicago,IL US"
2419,Mccarter,US,1979,"New Orleans,LA US"
2420,Terry,US,1945,"Laurel,MD US"
2421,Cuevas,US,1957,"Hugo,OK US"
2422,Byron,US,1964,"Cleveland,OH US"
2423,Romero,US,1941,"Jacksonville,FL US"
2424,Mulkey,US,1956,"South Bend,IN US"
2425,Perkins,US,1966,"Sanbornville,NH US"
2426,Hildreth,US,1945,"Clarksburg,WV US"
2427,Rubalcava,US,1964,"Wilmington,MA US"
2428,Applebaum,US,1972,"Euless,TX US"
2429,Vang,US,1940,"Elk Grove Village,IL US"
2430,Woodard,US,1947,"Chicago,IL US"
2431,Dotson,US,1972,"Ovando,MT US"
2432,Martinez,US,1980,"Bryan,TX US"
2433,Lebron,US,1954,"Nashville,TN US"
2434,Hooper,US,1962,"Waco,TX US"
2435,Johnson,US,1949,"Grover Hill,OH US"
2436,Hendricks,US,1957,"Southfield,MI US"
2437,Black,US,1959,"Hollywood,CA US"
2438,Cowles,US,1960,"Summit,IL US"
2439,Bailey,US,1971,"Gilbert,AZ US"
2440,Duncan,US,1942,"Baltimore,MD US"
2441,Henderson,US,1977,"Moorpark,CA US"
2442,Green,US,1954,"Orlando,FL US"
2443,Mckee,US,1971,"Cardwell,MO US"
2444,Acosta,US,1972,"College Park,MD US"
2445,Pulliam,US,1982,"Chicago,IL US"
2446,Splawn,US,1968,"Dallas,TX US"
2447,Lewis,US,1964,"Mount Vernon,IL US"
2448,Thomas,US,1984,"Longview,TX US"
2449,Dunn,US,1942,"Beckley,WV US"
2450,Rice,US,1943,"Hickory Hills,IL US"
2451,Campbell,US,1976,"Youngtown,AZ US"
2452,Owens,US,1964,"Cliffside Park,NJ US"
2453,Spray,US,1958,"Maitland,FL US"
2454,Maurer,US,1959,"Alexandria,VA US"
2455,Torres,US,1941,"Newark,DE US"
2456,Dixon,US,1980,"Galva,KS US"
2457,Beard,US,1955,"Orlando,FL US"
2458,Crane,US,1981,"Standish,ME US"
2459,Payne,US,1984,"Seattle,WA US"
2460,Cruz,US,1956,"Huntington Station,NY US"
2461,Goad,US,1979,"Fort Smith,AR US"
2462,Hawkins,US,1983,"Tenants Harbor,ME US"
2463,Crawford,US,1947,"Lubbock,TX US"
2464,Cook,US,1983,"Lewisberry,PA US"
2465,Sanderson,US,1956,"Saint Louis,MO US"
2466,Roberts,US,1984,"New Brunswick,NJ US"
2467,Lugo,US,1974,"Houston,TX US"
2468,Clayton,US,1978,"Buckeystown,MD US"
2469,Durr,US,1965,"Garfield Heights,OH US"
2470,Kelly,US,1965,"Jenkintown,PA US"
2471,Mcdonald,US,1969,"Lawrence,KS US"
2472,Wofford,US,1941,"Des Moines,IA US"
2473,Glover,US,1984,"Poughkeepsie,NY US"
2474,Johnson,US,1964,"San Carlos,CA US"
2475,Berrios,US,1950,"Denver,CO US"
2476,Butler,US,1960,"Longmont,CO US"
2477,Hutchinson,US,1952,"Needham,MA US"
2478,Wadley,US,1946,"Lubbock,TX US"
2479,Ganley,US,1941,"Denver,CO US"
2480,Mccarthy,US,1961,"Doral,FL US"
2481,Gomez,US,1946,"Decatur,IL US"
2482,Courtney,US,1956,"Sioux Falls,SD US"
2483,Haskell,US,1970,"Manhattan,NY US"
2484,Dalton,US,1960,"Wahiawa,HI US"
2485,Debnam,US,1942,"Lake Charles,LA US"
2486,Brown,US,1965,"Bath,PA US"
2487,Cox,US,1958,"Schoolcraft,MI US"
2488,Wilson,US,1941,"Richmond,IN US"
2489,Griffith,US,1950,"Anaheim,CA US"
2490,Thompson,US,1964,"Houston,TX US"
2491,Augustine,US,1959,"Sherman Oaks,CA US"
2492,Eastman,US,1977,"West Chicago,IL US"
2493,Wooten,US,1977,"Memphis,TN US"
2494,Pettyjohn,US,1961,"Baton Rouge,LA US"
2495,Kirksey,US,1967,"Norwalk,CT US"
2496,Ramos,US,1941,"Terminal,TX US"
2497,Burns,US,1943,"Albuquerque,NM US"
2498,Campagna,US,1943,"San Francisco,CA US"
2499,Mccauley,US,1945,"Mira Loma,CA US"
2500,Frank,US,1952,"Saint Joseph,MO US"
2501,Mason,US,1955,"Rushville,MO US"
2502,Belote,US,1947,"Oakland,CA US"
2503,Kestner,US,1975,"Newport,RI US"
2504,Sanchez,US,1958,"Halstead,KS US"
2505,Chavez,US,1975,"South Boston,MA US"
2506,Aquino,US,1976,"Vidalia,GA US"
2507,Clarkson,US,1967,"Gary,IN US"
2508,Smith,US,1980,"Cleveland,OH US"
2509,Schaffer,US,1940,"Nitro,WV US"
2510,Allen,US,1983,"Harrison,NY US"
2511,Macdonald,US,1963,"Adams Cedar Hill,TN US"
2512,Frost,US,1946,"Portland,OR US"
2513,Gaines,US,1961,"Madison,WI US"
2514,White,US,1971,"Platteville,WI US"
2515,Attaway,US,1981,"Minneapolis,MN US"
2516,Chiles,US,1980,"Pennsauken,NJ US"
2517,Burnham,US,1946,"Annapolis,MD US"
2518,Ortega,US,1942,"Minneapolis,MN US"
2519,Ladue,US,1984,"Los Angeles,CA US"
2520,Cohen,US,1949,"Grand Rapids,MI US"
2521,Mclean,US,1949,"Oakland,CA US"
2522,Fisher,US,1963,"Redlands,CA US"
2523,Jones,US,1982,"Wheeling,IL US"
2524,Mcmunn,US,1966,"Stockton,CA US"
2525,Delarosa,US,1943,"Norristown,PA US"
2526,Smith,US,1985,"New Brockton,AL US"
2527,Bearden,US,1985,"Frisco,TX US"
2528,Nguyen,US,1985,"Grand Rapids,MI US"
2529,Harper,US,1943,"Miami Springs,FL US"
2530,Phillips,US,1954,"Chicago,IL US"
2531,Huff,US,1984,"Philadelphia,PA US"
2532,Roger,US,1963,"Kalamazoo,MI US"
2533,Santee,US,1959,"Los Angeles,CA US"
2534,Rafferty,US,1943,"North Hollywood,CA US"
2535,Beck,US,1942,"New Berlin,WI US"
2536,Burns,US,1947,"Tigard,OR US"
2537,Sikorski,US,1952,"Hillsboro,VA US"
2538,Perry,US,1943,"Artesia,CA US"
2539,Moore,US,1965,"Warrensville Heights,OH US"
2540,Kelly,US,1949,"Madison,WI US"
2541,Campbell,US,1984,"El Rio,CA US"
2542,Hudson,US,1962,"San Antonio,TX US"
2543,Campos,US,1984,"Saint Cloud,MN US"
2544,Robertson,US,1981,"Los Angeles,CA US"
2545,Urban,US,1985,"Baltimore,MD US"
2546,Gilleland,US,1966,"Van Nuys,CA US"
2547,Nakano,US,1969,"Santa Ana,CA US"
2548,Miles,US,1982,"Livermore Falls,ME US"
2549,Murphy,US,1982,"Taunton,MA US"
2550,Sizemore,US,1977,"Champaign,IL US"
2551,Park,US,1972,"Curtis,WA US"
2552,Kelly,US,1954,"Grand Rapids,MI US"
2553,Alexander,US,1953,"Springdale,AR US"
2554,Allen,US,1941,"Millville,PA US"
2555,Richard,US,1985,"Firth,ID US"
2556,Reeves,US,1972,"Lake Charles,LA US"
2557,Cherry,US,1945,"Newark,DE US"
2558,Reed,US,1973,"Midland,MI US"
2559,Perdue,US,1965,"Clinton,OK US"
2560,Gomez,US,1969,"Pittsburg,TX US"
2561,Patton,US,1967,"Lexington,MA US"
2562,Pagel,US,1979,"Heber Springs,AR US"
2563,Feist,US,1946,"Ben Wheeler,TX US"
2564,Cooper,US,1975,"Pittston,PA US"
2565,Cole,US,1953,"Bakersfield,CA US"
2566,Buck,US,1968,"Hackett,AR US"
2567,Bibeau,US,1976,"Philadelphia,PA US"
2568,Chatman,US,1942,"New York,NY US"
2569,Acosta,US,1958,"Kingsport,TN US"
2570,Petty,US,1957,"Cockeysville,MD US"
2571,Hoffman,US,1954,"Aniak,AK US"
2572,Hagen,US,1948,"Boston,MA US"
2573,Mcgarvey,US,1956,"Pleasanton,TX US"
2574,Stacey,US,1963,"Dutton,MI US"
2575,Girardi,US,1942,"Riverside,CA US"
2576,Nixon,US,1949,"Houston,TX US"
2577,Betz,US,1945,"Saint Cloud,MN US"
2578,Romo,US,1941,"Elk Grove Village,IL US"
2579,Kraus,US,1970,"Lechee,AZ US"
2580,Johnson,US,1955,"Tukwila,WA US"
2581,Custer,US,1960,"Detroit,MI US"
2582,Friedman,US,1978,"Forest Hills,NY US"
2583,Monson,US,1945,"Cambridge,MA US"
2584,Rutledge,US,1977,"Independence,OH US"
2585,Sylvester,US,1966,"Garden City,NY US"
2586,Champion,US,1944,"Little Rock,AR US"
2587,Bennett,US,1965,"Wayne,NJ US"
2588,Burton,US,1972,"Camp Hill,PA US"
2589,Parker,US,1983,"Des Moines,IA US"
2590,Morgan,US,1978,"Providence,KY US"
2591,Jackson,US,1977,"Duluth,MN US"
2592,Merry,US,1955,"Melbourne,FL US"
2593,Bales,US,1956,"Kansas City,MO US"
2594,Elliott,US,1969,"Suitland,MD US"
2595,Gavin,US,1967,"Oil Trough,AR US"
2596,Campbell,US,1976,"Austin,TX US"
2597,Smith,US,1960,"East Lynne,MO US"
2598,Barfield,US,1958,"Silverton,OR US"
2599,Arechiga,US,1946,"Ketchum,OK US"
2600,Warman,US,1960,"Wawina,MN US"
2601,Clark,US,1978,"Portsmouth,NH US"
2602,White,US,1952,"Irvine,CA US"
2603,Valle,US,1951,"Tucson,AZ US"
2604,Matthews,US,1985,"Philadelphia,PA US"
2605,Delacruz,US,1967,"Port Washington,NY US"
2606,Johnson,US,1953,"Birmingham,MI US"
2607,Price,US,1973,"Miami,FL US"
2608,Tillery,US,1956,"Gilbert,AZ US"
2609,Cole,US,1953,"North Charleston,SC US"
2610,Warren,US,1984,"San Antonio,TX US"
2611,Little,US,1947,"Mountain View,WY US"
2612,Weaver,US,1976,"Daytona Beach,FL US"
2613,Woodring,US,1961,"Salt Lake City,UT US"
2614,Koontz,US,1979,"La Mesa,CA US"
2615,Resnick,US,1940,"Richmond,VA US"
2616,Brown,US,1979,"Boulder Creek,CA US"
2617,Adams,US,1973,"Rockford,IL US"
2618,Colangelo,US,1981,"Edinburgh,IN US"
2619,Martin,US,1947,"Newark,NJ US"
2620,Richardson,US,1978,"Chicago,IL US"
2621,Newman,US,1941,"Post Falls,ID US"
2622,Brewer,US,1969,"Amherst,OH US"
2623,Flood,US,1974,"Philadelphia,PA US"
2624,Rogowski,US,1958,"Charlotte,NC US"
2625,Adamo,US,1959,"Cartersville,GA US"
2626,Whitehurst,US,1942,"Philadelphia,PA US"
2627,Jacques,US,1943,"Hickory,NC US"
2628,Irwin,US,1953,"Scottsdale,AZ US"
2629,Castro,US,1969,"Wayne,MI US"
2630,Cook,US,1976,"Pittsburgh,PA US"
2631,Taylor,US,1949,"Washington,DC US"
2632,Chase,US,1971,"Milwaukee,WI US"
2633,Moris,US,1982,"Houston,TX US"
2634,Hunter,US,1977,"West Bloomfield,MI US"
2635,Hatchett,US,1943,"Chicago,IL US"
2636,Buono,US,1953,"Burlingame,CA US"
2637,Buchanan,US,1941,"Boston,MA US"
2638,Smith,US,1983,"Portland,OR US"
2639,Rounds,US,1953,"Hickory,NC US"
2640,Eaton,US,1972,"Wyoming,MI US"
2641,Sanders,US,1951,"Camden,TN US"
2642,Healey,US,1952,"Richland Center,WI US"
2643,Amburgey,US,1985,"Chicago,IL US"
2644,Wolf,US,1982,"Franklin,OH US"
2645,Hutson,US,1941,"Huntsville,TX US"
2646,Remer,US,1980,"Tempe,AZ US"
2647,Castro,US,1981,"Oklahoma City,OK US"
2648,Reynolds,US,1969,"Lexington,KY US"
2649,Scott,US,1975,"Dalton,MA US"
2650,Reddy,US,1952,"Troy,MI US"
2651,Harper,US,1969,"Tempe,AZ US"
2652,Holliday,US,1957,"Ponte Vedra Beach,FL US"
2653,Patel,US,1968,"Atlanta,GA US"
2654,Finley,US,1970,"White Plains,NY US"
2655,Harr,US,1965,"Charlotte,NC US"
2656,Hirschman,US,1948,"Dunbar,PA US"
2657,Leach,US,1977,"Denver,CO US"
2658,Hentz,US,1960,"El Paso,TX US"
2659,Langlais,US,1949,"Quincy,MA US"
2660,Perry,US,1951,"Ft Lauderdale,FL US"
2661,Blanton,US,1955,"Rutherford,NJ US"
2662,Johnson,US,1972,"Kansas City,MO US"
2663,Kim,US,1981,"Columbia,MO US"
2664,Jacquez,US,1963,"Farmington Hills,MI US"
2665,Hernandez,US,1947,"New Minden,IL US"
2666,Ratliff,US,1974,"Charlotte,NC US"
2667,Castor,US,1964,"New York,NY US"
2668,Phelps,US,1980,"Mcallen,TX US"
2669,Green,US,1963,"Plano,TX US"
2670,Butler,US,1942,"Bensenville,IL US"
2671,Luna,US,1975,"Princeton,IL US"
2672,Gonzalez,US,1961,"Washington,VA US"
2673,Drake,US,1973,"Barrington,IL US"
2674,Wales,US,1980,"Meridian,ID US"
2675,Dixon,US,1977,"Seattle,WA US"
2676,Sims,US,1944,"Tunbridge,VT US"
2677,Hudson,US,1981,"Bloomfield,CT US"
2678,Love,US,1945,"New York,NY US"
2679,Ricker,US,1978,"Stockton,CA US"
2680,Norton,US,1968,"South Burlington,VT US"
2681,Palacios,US,1942,"Orlando,FL US"
2682,Dodge,US,1977,"Iron Mountain,MI US"
2683,Butler,US,1945,"Reston,MD US"
2684,Smith,US,1945,"Newark,NJ US"
2685,Joyce,US,1956,"Prestonsburg,KY US"
2686,Mcgee,US,1945,"Jackson,MS US"
2687,Comerford,US,1976,"Detroit,MI US"
2688,Lopez,US,1974,"New York,NY US"
2689,Huse,US,1984,"Oklahoma City,OK US"
2690,Cohen,US,1972,"Allen,KY US"
2691,Moseley,US,1980,"Simi Valley,CA US"
2692,Roberts,US,1966,"Lancaster,CA US"
2693,Langenfeld,US,1971,"Waltham,MA US"
2694,Chase,US,1975,"Worthington,OH US"
2695,Edson,US,1979,"Inman,KS US"
2696,Anderson,US,1969,"Jackson,MS US"
2697,Roy,US,1943,"Salinas,CA US"
2698,Miller,US,1952,"Simi Valley,CA US"
2699,Caster,US,1959,"Nashville,TN US"
2700,Lange,US,1978,"Cascabel,AZ US"
2701,Cook,US,1963,"San Jose,CA US"
2702,Leija,US,1942,"Cherryville,NC US"
2703,Hagy,US,1975,"San Antonio,TX US"
2704,Hooks,US,1972,"Washington,DC US"
2705,Bones,US,1943,"Jeffersonville,IN US"
2706,Mcconnell,US,1952,"Portland,ME US"
2707,Wood,US,1970,"Baltimore,MD US"
2708,Stepp,US,1942,"West Valley City,UT US"
2709,Arias,US,1970,"Terre Haute,IN US"
2710,Martin,US,1960,"Welch,WV US"
2711,Shouse,US,1966,"Boston,MA US"
2712,Gainey,US,1948,"Pewaukee,WI US"
2713,Thorne,US,1964,"Chino Valley,AZ US"
2714,Holt,US,1976,"Honolulu,HI US"
2715,Dunphy,US,1940,"Tucson,AZ US"
2716,Cox,US,1983,"Somerset,KY US"
2717,Gelman,US,1973,"Brattleboro,VT US"
2718,Pina,US,1945,"Utica,NY US"
2719,Brown,US,1971,"Abilene,TX US"
2720,Lambert,US,1981,"Ogden,UT US"
2721,Belisle,US,1980,"Arlington,TN US"
2722,Perez,US,1952,"Belleville,MO US"
2723,Emory,US,1967,"Westville,FL US"
2724,Ledbetter,US,1975,"San Carlos,CA US"
2725,French,US,1948,"Hendersonville,TN US"
2726,Thompson,US,1951,"Dayton,OH US"
2727,Rouse,US,1974,"Denver,CO US"
2728,Montez,US,1960,"Girard,TX US"
2729,Bracy,US,1954,"Oakland,CA US"
2730,West,US,1957,"Atlanta,GA US"
2731,Keck,US,1967,"Wichita,KS US"
2732,Hartman,US,1943,"New York,NY US"
2733,Smallwood,US,1955,"New York,NY US"
2734,Coward,US,1952,"El Sobrante,CA US"
2735,Gautier,US,1959,"San Francisco,CA US"
2736,Robinson,US,1953,"Vanderbilt,MI US"
2737,Shearer,US,1981,"Atlanta,GA US"
2738,Santiago,US,1976,"Providence,RI US"
2739,Woodside,US,1970,"Norfolk,VA US"
2740,Lewis,US,1979,"Victoria,TX US"
2741,Bergquist,US,1961,"Salinas,CA US"
2742,Gracia,US,1973,"Belen,NM US"
2743,Sanchez,US,1955,"Fort Smith,AR US"
2744,Rouleau,US,1961,"Phillipsburg,NJ US"
2745,Burr,US,1978,"Cocoa,FL US"
2746,Thompson,US,1968,"Norfolk,VA US"
2747,Manning,US,1966,"Miami,FL US"
2748,Graham,US,1971,"Washington,DC US"
2749,Miller,US,1959,"Newark,NJ US"
2750,Davis,US,1954,"Davenport,IA US"
2751,Schmitz,US,1959,"Wheeling,IL US"
2752,Hoffman,US,1962,"Macon,GA US"
2753,Becker,US,1954,"Saginaw,MI US"
2754,Hughes,US,1978,"Los Angeles,CA US"
2755,Bryan,US,1964,"Cincinnati,OH US"
2756,Baker,US,1954,"Corpus Christi,TX US"
2757,Krohn,US,1983,"Macon,GA US"
2758,Mccain,US,1957,"Hanover Township,PA US"
2759,Rivera,US,1959,"Gretna,NE US"
2760,Freeman,US,1982,"Urbandale,IA US"
2761,Shaw,US,1966,"Idalou,TX US"
2762,Souza,US,1983,"San Diego,CA US"
2763,Thomas,US,1942,"Centerville,VA US"
2764,Yan,US,1976,"Portage,IN US"
2765,Smith,US,1963,"Mc Minnville,TN US"
2766,Warriner,US,1983,"Houston,TX US"
2767,Meyers,US,1961,"Los Angeles,CA US"
2768,Berger,US,1954,"Kenner,LA US"
2769,Moreno,US,1962,"York,PA US"
2770,Curry,US,1957,"Huntsville,AL US"
2771,Dennison,US,1971,"Providence,RI US"
2772,Dawkins,US,1957,"Cary,NC US"
2773,Mcallister,US,1979,"San Diego,CA US"
2774,Tsai,US,1975,"Corvallis,OR US"
2775,Labounty,US,1940,"Fresno,CA US"
2776,Moberly,US,1951,"Houston,TX US"
2777,Emrick,US,1953,"Ft Lauderdale,FL US"
2778,Davis,US,1941,"Davenport,IA US"
2779,Mendoza,US,1969,"Eagan,MN US"
2780,Smith,US,1984,"Toledo,OH US"
2781,Lazo,US,1974,"New York,NY US"
2782,Gallegos,US,1977,"Savannah,GA US"
2783,Velasco,US,1942,"Marysville,CA US"
2784,Johnson,US,1947,"Garner,NC US"
2785,James,US,1984,"Minneapolis,MN US"
2786,Petterson,US,1981,"Bloomsburg,PA US"
2787,Ingram,US,1940,"San Jose,CA US"
2788,Lowe,US,1950,"Longmont,CO US"
2789,Cotton,US,1951,"Fremont,CA US"
2790,Stephens,US,1975,"Lubbock,TX US"
2791,Perkins,US,1947,"Plantation,FL US"
2792,Shaner,US,1977,"Prairie Hill,TX US"
2793,Kinley,US,1956,"Fresno,CA US"
2794,Smith,US,1964,"Wedgwood,TX US"
2795,Flick,US,1974,"Sault Ste Marie,MI US"
2796,Romero,US,1966,"San Francisco,CA US"
2797,Byfield,US,1968,"Mountain View,CA US"
2798,Ramirez,US,1984,"Santa Barbara,CA US"
2799,Jones,US,1971,"Manchester,TN US"
2800,Groesbeck,US,1967,"Pittsburgh,PA US"
2801,Prince,US,1972,"Bohemia,NY US"
2802,Schuller,US,1970,"New York,NY US"
2803,Dupuis,US,1983,"Houston,TX US"
2804,Anderson,US,1979,"Jackson,MS US"
2805,Lineberger,US,1956,"Dallas,TX US"
2806,Storms,US,1981,"Harrisburg,PA US"
2807,Goodrich,US,1966,"Grand Forks Air Base,ND US"
2808,Munson,US,1960,"Canadian,OK US"
2809,Mccollum,US,1949,"Camden,NJ US"
2810,Foley,US,1943,"Manchester,NH US"
2811,Westover,US,1973,"Burbank,CA US"
2812,Aragon,US,1976,"Hanceville,AL US"
2813,Choi,US,1959,"Minneapolis,MN US"
2814,Johnson,US,1963,"Garden Prairie,IL US"
2815,Martinez,US,1960,"Doniphan,MO US"
2816,Relyea,US,1957,"Baltimore,MD US"
2817,Lindsey,US,1962,"Laguna Beach,CA US"
2818,Lee,US,1983,"Elko,NV US"
2819,Mccool,US,1963,"Hickory Hills,IL US"
2820,Solorzano,US,1944,"Elk Grove Village,IL US"
2821,Hinton,US,1973,"Jacksonville,FL US"
2822,Short,US,1982,"Lenora,KS US"
2823,Carlock,US,1982,"Mosinee,WI US"
2824,Fuchs,US,1980,"Cleveland,OH US"
2825,Mansour,US,1949,"Saint Clairsville,OH US"
2826,Bowers,US,1969,"Fresno,CA US"
2827,Arroyo,US,1971,"Los Angeles,CA US"
2828,Fournier,US,1964,"Opdyke,IL US"
2829,Cotter,US,1972,"Portsmouth,VA US"
2830,Reed,US,1958,"Union City,TN US"
2831,Epley,US,1950,"Huntington,NY US"
2832,Brown,US,1952,"Indianapolis,IN US"
2833,Ford,US,1967,"Appleton,WI US"
2834,Panek,US,1953,"Dallas,TX US"
2835,Davis,US,1956,"Huntington Beach,CA US"
2836,Paxton,US,1957,"Detroit,MI US"
2837,Schoch,US,1955,"Austin,TX US"
2838,Martinez,US,1942,"Little Rock,AR US"
2839,Higgins,US,1984,"Branson,MO US"
2840,Walker,US,1942,"Richlands,VA US"
2841,Little,US,1967,"El Segundo,CA US"
2842,Balderrama,US,1962,"Bellflower,CA US"
2843,Cockrell,US,1949,"Belfast,ME US"
2844,Gibson,US,1949,"La Porte,IN US"
2845,Williams,US,1981,"Newark,NJ US"
2846,Foutz,US,1967,"Pocatello,ID US"
2847,Lewis,US,1985,"Olivette,MO US"
2848,Muir,US,1964,"Eureka,SD US"
2849,Mcbride,US,1980,"Dayton,OH US"
2850,Johansen,US,1967,"Madisonville,KY US"
2851,Betancourt,US,1972,"Dallas,TX US"
2852,Gentile,US,1979,"Rose Hill,NC US"
2853,Fletcher,US,1943,"Houston,TX US"
2854,Kelm,US,1964,"Lancaster,CA US"
2855,Price,US,1948,"Saginaw,MI US"
2856,Lawson,US,1982,"Dallas,TX US"
2857,Faulkner,US,1961,"Massapequa,NY US"
2858,Lockwood,US,1953,"Rochelle Park,NJ US"
2859,Berge,US,1945,"Chicago,IL US"
2860,Talmage,US,1977,"Madison,NH US"
2861,Candelario,US,1966,"Albuquerque,NM US"
2862,Davis,US,1968,"Cambridge,MA US"
2863,Thompson,US,1964,"Daytona Beach,FL US"
2864,Perez,US,1980,"San Francisco,CA US"
2865,Luis,US,1984,"Lemmon,SD US"
2866,Norberg,US,1955,"Hartford,CT US"
2867,Kelley,US,1966,"Arlington,TX US"
2868,Snyder,US,1953,"Fort Worth,KS US"
2869,Jackson,US,1951,"Akron,OH US"
2870,Robinson,US,1943,"Philadelphia,PA US"
2871,Galles,US,1958,"Baldwin Park,CA US"
2872,Simpson,US,1940,"Greenwood,NE US"
2873,Steele,US,1957,"Lincoln,NE US"
2874,Boutin,US,1975,"Fox Lake,IL US"
2875,Wallace,US,1958,"Fresno,CA US"
2876,Kelton,US,1941,"Little Rock,AR US"
2877,Lee,US,1968,"Florence,KY US"
2878,Smith,US,1969,"Maple Valley,WA US"
2879,Martin,US,1953,"Antioch,CA US"
2880,Miles,US,1974,"Portland,OR US"
2881,Hunt,US,1974,"Georgetown,TX US"
2882,Beeman,US,1962,"Memphis,TN US"
2883,Younker,US,1957,"Washington,VA US"
2884,Snow,US,1977,"Pine Bluff,AR US"
2885,Sullivan,US,1968,"New York,NY US"
2886,Massey,US,1951,"Los Angeles,CA US"
